Node,Community,Degree,Betweenness Centrality,Closeness Centrality
Ensemble,14,2,1.5802481621713873e-05,0.007252812314979278
nomansky,15,1,0.0,0.0017761989342806395
"Google Gemini model error issue, suggested trying version alpha.3.",15,1,0.0,0.0017761989342806395
hosermage,16,3,1.8962977946056647e-05,0.0053285968028419185
unknown,16,1,0.0,0.003197158081705151
puremood,17,3,5.688893383816994e-05,0.007104795737122558
All members in the chat,17,1,0.0,0.004567368688150215
Konstantine,17,4,7.585191178422659e-05,0.007992895204262877
Mfairy and AzFlin,18,1,0.0,0.0017761989342806395
NavarroCol/VickyDev,18,1,0.0,0.0017761989342806395
Artego,19,1,0.0,0.0017761989342806395
NavarroCol / VickyDev/nodms (05:34),19,1,0.0,0.0017761989342806395
Kush,20,1,0.0,0.002368265245707519
NavarroCol / VickyDev/nodms (05:42),20,2,6.320992648685549e-06,0.003552397868561279
Cartman,20,1,0.0,0.002368265245707519
NavarroCol / VickyDev,16,1,0.0,0.003197158081705151
juneaucrypto,21,1,0.0,0.002368265245707519
g,21,2,6.320992648685549e-06,0.003552397868561279
The Interns AI] (07:23),21,1,0.0,0.002368265245707519
Yoni,17,1,0.0,0.004567368688150215
EdwardLazz,22,3,0.00022123474270399423,0.01165832391409656
bigxiang,22,1,0.0,0.008783668702401517
Bel,22,4,0.0007395561398962092,0.015639215006714897
fudme,22,1,0.0,0.008783668702401517
CaptainCool,22,2,0.00044246948540798846,0.013085873781128791
CaptainCool and RZ,22,1,0.0,0.010867929072462893
dnx,22,6,0.0007079511766527816,0.014911809657565368
0xM1M3,22,2,0.00011377786767633988,0.010867929072462893
Tharakesh (00:51),23,1,0.0,0.0017761989342806395
(POV),23,1,0.0,0.0017761989342806395
Tharakesh](01:05),24,1,0.0,0.0763765541740675
Nona](01:16),24,1,0.0,0.0763765541740675
!MakturbLab,25,1,0.0,0.0017761989342806395
YoungphLo (01:46),25,1,0.0,0.0017761989342806395
cMooreLabs,26,1,0.0,0.0017761989342806395
Tharakesh (02:53),26,1,0.0,0.0017761989342806395
Isk heheh,24,2,0.0013526924268187075,0.07651891494606015
Adjusting character file syntax for image generation model,24,1,0.0,0.0637954900832343
Tharakesh and others,27,1,0.0,0.0017761989342806395
'EADDRINUSE' error explanation.,27,1,0.0,0.0017761989342806395
Lazarou,28,3,0.00010745687502765433,0.00874436398415084
istyping,28,2,4.424694854079885e-05,0.006315373988553384
big_d ookie,29,1,0.0,0.0017761989342806395
ofir,29,1,0.0,0.0017761989342806395
istyping](01:54),5,2,0.0013526924268187073,0.11309200514755172
WAWE](02:03),5,1,0.0,0.0873455273799176
Jb (06:21),28,1,0.0,0.004547069271758437
istyping (06:54),5,2,1.8902778016069148e-05,0.11899245759003269
patabrava.eth](07:15),5,2,0.0013526924268187073,0.11309200514755172
WAWE] (07:19-07:20),5,1,0.0,0.0873455273799176
big dookie (07:45),30,1,0.0,0.0017761989342806395
chat_group,30,1,0.0,0.0017761989342806395
Tenji,24,10,0.009643948517421206,0.13053226667269086
All members,5,6,0.004353914786397105,0.12848950819580995
LevelsDennis](14:38),0,1,0.0,0.10760785810894176
All members interested in contributing or learning more.,22,1,0.0,0.010511603529103457
victorkunai,22,3,0.00022123474270399423,0.011249259917110715
MurphyDev,31,2,6.320992648685549e-06,0.003552397868561279
shaw and the community,31,1,0.0,0.002368265245707519
shaw and futjr,31,1,0.0,0.002368265245707519
_d3f4ult,22,1,0.0,0.008549437537004144
WAWE (SotoAlt),22,1,0.0,0.008549437537004144
shaw](https://discordapp.com/users/me?id=129876543),32,1,0.0,0.0017761989342806395
SotoAlt](https://discordapp.com/users/me?id=129876543),32,1,0.0,0.0017761989342806395
Elijah Madonia,33,1,0.0,0.0017761989342806395
Community members,33,1,0.0,0.0017761989342806395
futjrnaut,51,1,0.0,0.09797708321852333
futjr,34,3,0.0014159023533055629,0.09916038132502723
Jin or Shaw,34,1,0.0,0.07879538938303508
sirkitree,134,1,0.0,0.09513881313687433
arthuryeti,35,3,3.160496324342775e-05,0.005683836589698047
with Scrape a collection of tweets without hitting rate limits by providing not_in_a_dao_ai provided settings for scraping large collections,35,1,0.0,0.003552397868561279
not_in_a_dao_ai,35,1,0.0,0.003552397868561279
Rick (shared),51,1,0.0,0.10061862222686588
exHuman,35,2,1.8962977946056647e-05,0.004736530491415038
standard](7:47),34,1,0.0,0.07567262279919129
whobody,34,5,0.005372843751382717,0.09426497788418203
Rick](10:03),35,1,0.0,0.003157686994276692
standard,0,2,0.0013526924268187075,0.10789066456914921
Eliza,0,3,0.0026990638609887293,0.10817496144548426
LevelsDennis,0,1,0.0,0.0843831405314723
LevelsDennis (19:47),0,1,0.0,0.0843831405314723
ATH🥭Hivo,28,5,0.00013906183827108208,0.009473060982830076
BigSky,28,1,0.0,0.00598298588389268
AzFlin,36,2,6.320992648685549e-06,0.003552397868561279
Nivi BIP420🕷,36,1,0.0,0.002368265245707519
Nivi BIP 420🕷,36,1,0.0,0.002368265245707519
Does the script require any additional safety checks or modifications before deployment?,28,1,0.0,0.00598298588389268
yikesawjeez,0,2,0.0013526924268187075,0.10789066456914921
yikesawjeez](15:20-15:23),0,1,0.0,0.10760785810894176
YikesAwJezzz,37,1,0.0,0.0017761989342806395
Ophiuchus (15:23),37,1,0.0,0.0017761989342806395
Faith,0,1,0.0,0.10760785810894176
yikesawjeez (18:49),28,1,0.0,0.005683836589698047
el.gatore,51,1,0.0,0.08033737351968938
only1,51,4,0.0016182192680109905,0.10161484620931009
coinwitch,38,2,6.320992648685549e-06,0.003552397868561279
zing,38,1,0.0,0.002368265245707519
collect,6,8,0.009351568950750691,0.10760785810894176
DorianD,6,9,0.00951564796023641,0.11483188214982175
"Havohej, DorianD and RL.",39,1,0.0,0.0017761989342806395
ai16z/agent,39,1,0.0,0.0017761989342806395
"SlKzᵍᵐ, coinwitch (ai16z intern)",83,1,0.0,0.00598298588389268
kbrownfitness,83,5,0.00013906183827108208,0.009473060982830076
SlKzᵍᵐ,40,1,0.0,0.0017761989342806395
infi,40,1,0.0,0.0017761989342806395
Tchouston (04:59),41,1,0.0,0.0017761989342806395
infi(04:51),41,1,0.0,0.0017761989342806395
galego,42,1,0.0,0.0017761989342806395
kbrownfitness (04:53),42,1,0.0,0.0017761989342806395
Galego](05:01),43,1,0.0,0.0017761989342806395
General Discord community,43,1,0.0,0.0017761989342806395
Galego,24,3,0.0026990638609887293,0.07651891494606015
björn,24,1,0.0,0.0637954900832343
0xFanz,44,1,0.0,0.0017761989342806395
DAPPCRAFT,44,1,0.0,0.0017761989342806395
naturevrm](04:02-04:13),45,1,0.0,0.0017761989342806395
Bunchu](04:07),45,1,0.0,0.0017761989342806395
Ophiuchus](04:23),46,1,0.0,0.0017761989342806395
(General Discord community),46,1,0.0,0.0017761989342806395
Ophiuchus (04:25-36),134,1,0.0,0.08934145346803325
Bunchu,134,7,0.009519414928920432,0.11646070317322348
big dookie](05:31),5,2,0.0013526924268187073,0.11309200514755172
WAWE](05:28),5,1,0.0,0.0873455273799176
Bunchu (06:59),5,2,1.8902778016069148e-05,0.11899245759003269
WAWE (06:20),134,1,0.0,0.08934145346803325
discordjs+opus,47,1,0.0,0.0017761989342806395
"pnpm install error, suggested debugging",47,1,0.0,0.0017761989342806395
"llama.ts file errors, suggested using llama-cpp in python at 08:24 and fastapi server for integration.",24,1,0.0,0.0973959617284965
"matt.lam, chang",48,1,0.0,0.0017761989342806395
smug,48,1,0.0,0.0017761989342806395
griffin was having trouble selecting a specific model in the command line tool.,49,1,0.0,0.0017761989342806395
Bitang,49,1,0.0,0.0017761989342806395
Shannon Code (emblem vault)](0:51),22,1,0.0,0.008327374224354686
Oguz Serdar,50,2,1.2641985297371098e-05,0.003996447602131439
Other Bots,50,1,0.0,0.0026642984014209592
Shannon Code (emblem vault),6,3,0.0026990638609887293,0.0843831405314723
gy,6,1,0.0,0.06917000483329618
CLONE,6,1,0.0,0.06917000483329618
loaf(02:39),50,1,0.0,0.0026642984014209592
Lady lotus,50,2,1.2641985297371098e-05,0.003996447602131439
SMA,51,10,0.012306972686990764,0.11467150242614882
All members needing assistance,51,1,0.0,0.0882847265990565
"Mr. frogwifcat, collect](03:34)",5,2,0.0013526924268187073,0.11309200514755172
WAWE](03:31),5,1,0.0,0.0873455273799176
Oguz Serdar](03:28),5,2,0.0013526924268187073,0.11309200514755172
"WAWE, 0xaryan](03:31)",5,1,0.0,0.0873455273799176
roque,83,1,0.0,0.00598298588389268
razzzz,5,1,0.0,0.06229498917839344
Eliza development,5,2,0.0013526924268187075,0.07437028599377044
technoir,5,2,0.002692742868340044,0.0920457351313033
Robin,52,1,0.0,0.0017761989342806395
gavinlouuu,52,1,0.0,0.0017761989342806395
AIFlow.ML,134,5,0.0032733711930693025,0.09404902146291244
maimun,134,2,0.0005079369092693745,0.09636713114685745
umut,78,2,1.8962977946056647e-05,0.0040598832783557475
maimun and Sam,78,1,0.0,0.0028419182948490234
Lamb,24,1,0.0,0.09394141388686791
N00t,134,4,0.002787557758070327,0.09580489584261674
Sam & Others,134,1,0.0,0.07666180741094543
Havohej,134,1,0.0,0.07666180741094543
bufan,53,2,6.320992648685549e-06,0.003552397868561279
Harvzs,53,1,0.0,0.002368265245707519
VI,54,1,0.0,0.002368265245707519
Ayvaras,54,2,6.320992648685549e-06,0.003552397868561279
VKu,55,1,0.0,0.0017761989342806395
N00t (02:01),55,1,0.0,0.0017761989342806395
Big Dookie,56,1,0.0,0.0017761989342806395
Sam,56,1,0.0,0.0017761989342806395
cleverson1,78,2,2.5283970594742197e-05,0.004736530491415038
thebasement,57,1,0.0,0.0017761989342806395
bunchu,57,1,0.0,0.0017761989342806395
LiveTheLifeTV (00:45),134,1,0.0,0.09513881313687433
LiveTheLifeTV,5,4,0.005372783551452726,0.12038826354416797
walee,51,3,0.0019149724465712529,0.11387627702790921
WAWE (04:25-04:31),51,1,0.0,0.0878126157616284
7OROY (05:21),58,1,0.0,0.002368265245707519
Roque,58,2,6.320992648685549e-06,0.003552397868561279
shrigma male,0,1,0.0,0.08473147134893969
Noah,58,1,0.0,0.002368265245707519
bacon](07:15),59,1,0.0,0.0017761989342806395
KothCap](07:03),59,1,0.0,0.0017761989342806395
"AMcKay, Nona (ag/acc)",83,1,0.0,0.00598298588389268
SotoAlt (WAWE) 07:42-08:05,60,1,0.0,0.0017761989342806395
Roque (08:03),60,1,0.0,0.0017761989342806395
Mili,6,1,0.0,0.0883797585975485
LanaDelFade,61,2,6.320992648685549e-06,0.003552397868561279
UoS,61,1,0.0,0.002368265245707519
Kanye,5,4,0.004051696087877448,0.12003625107766455
All users facing similar issues,5,1,0.0,0.09143073021951287
LiamZ,22,1,0.0,0.010511603529103457
"dnx, loaf",61,1,0.0,0.002368265245707519
LanaDelFade (02:43),62,1,0.0,0.0017761989342806395
björr,62,1,0.0,0.0017761989342806395
18 Rabbit,63,2,6.320992648685549e-06,0.003552397868561279
Twitter tweeting setup and node-scheduler switch.,63,1,0.0,0.002368265245707519
infi](https://discordapp.com/users/me),64,1,0.0,0.0017761989342806395
bot time awareness,64,1,0.0,0.0017761989342806395
"Lawyered, 18 Rabbit",24,1,0.0,0.09394141388686791
ICJR,0,1,0.0,0.10760785810894176
solarnius,22,1,0.0,0.008327374224354686
void(null) ⍼,65,1,0.0,0.0017761989342806395
Twitter API usage and rate limiting,65,1,0.0,0.0017761989342806395
björn (01:41) and others,66,1,0.0,0.0017761989342806395
Setting up agents to communicate locally,66,1,0.0,0.0017761989342806395
Teo,24,2,0.004020151324564009,0.09513881313687433
copycat,0,1,0.0,0.10760785810894176
with Resolving an issue,24,1,0.0,0.0637954900832343
Ophiuchus](at 2021-09-27T03:41),67,1,0.0,0.002368265245707519
Msurfx,67,2,6.320992648685549e-06,0.003552397868561279
Spicy (Repenting for my Sins)](at 2021-09-27T04:36),67,1,0.0,0.002368265245707519
massivefermion,0,2,0.0013526924268187075,0.10789066456914921
uber,0,1,0.0,0.08421004690986929
Ophiuchus] (00:40),0,1,0.0,0.10760785810894176
YoungPhlo (01:13),68,1,0.0,0.002368265245707519
brownie,68,2,6.320992648685549e-06,0.003552397868561279
Kanye](01:30),5,2,0.0013526924268187073,0.11309200514755172
WAWE](01:32-01:35),5,1,0.0,0.0873455273799176
YoungPhlo,69,1,0.0,0.0017761989342806395
sebasv23,69,1,0.0,0.0017761989342806395
drake granger,51,1,0.0,0.10061862222686588
hiroP](01:59),70,1,0.0,0.0017761989342806395
stammer](01:58),70,1,0.0,0.0017761989342806395
brownie (02:35-02:49),71,1,0.0,0.0017761989342806395
Kanyey(02:36),71,1,0.0,0.0017761989342806395
leeren,72,1,0.0,0.0017761989342806395
Chat Members,72,1,0.0,0.0017761989342806395
Plugins Developers,53,1,0.0,0.002368265245707519
iBuyRare (03:30),73,1,0.0,0.0017761989342806395
dotbear89 (02:41),73,1,0.0,0.0017761989342806395
Dolla Llama](07:24),74,2,6.320992648685549e-06,0.003552397868561279
WAWE] SotoAlt,74,1,0.0,0.002368265245707519
WAWE (07:36),74,1,0.0,0.002368265245707519
braydie,75,1,0.0,0.002368265245707519
dotbear89,75,2,6.320992648685549e-06,0.003552397868561279
peachy,75,1,0.0,0.002368265245707519
Peachy (08:26),76,1,0.0,0.002368265245707519
iBuyRare,76,2,6.320992648685549e-06,0.003552397868561279
Dolla Llama,77,1,0.0,0.0017761989342806395
"HoneyPotSmoker🐻⛓🍯, dotbear89",77,1,0.0,0.0017761989342806395
Jo,76,1,0.0,0.002368265245707519
DL,78,2,1.8962977946056647e-05,0.0040598832783557475
dl,78,1,0.0,0.0028419182948490234
sototal,79,1,0.0,0.0017761989342806395
ayvaras,79,1,0.0,0.0017761989342806395
"'Try without' and 'nah my agent doesn't have any', suggesting Ayvaras to test the software feature with cookies disabled.",80,1,0.0,0.0017761989342806395
"Ayvaras (02:39, 02:41)",80,1,0.0,0.0017761989342806395
"lambert, Tharakesh",54,1,0.0,0.002368265245707519
lambert,81,1,0.0,0.0017761989342806395
Manasvi,81,1,0.0,0.0017761989342806395
frenchplace,82,1,0.0,0.0017761989342806395
problem,82,1,0.0,0.0017761989342806395
Cleverson1,134,1,0.0,0.08934145346803325
kungfumode,83,3,0.00010745687502765433,0.00874436398415084
Agent Issue Resolution Successful.,83,1,0.0,0.005683836589698047
Dorian D,6,2,3.442578658819719e-05,0.10393012118623109
wondering what you guys recommend for this,6,2,3.442578658819719e-05,0.10393012118623109
collect](01:01),6,2,0.0013526924268187075,0.10314672831296802
stakeware.xyz] (01:06),6,1,0.0,0.08129187696744807
collect](01:19),84,1,0.0,0.0017761989342806395
"ZO, DorianD, and others present during chat interaction.",84,1,0.0,0.0017761989342806395
fff,6,1,0.0,0.0840376619622544
Zo](01:35),85,1,0.0,0.0017761989342806395
DoranD](02:46),85,1,0.0,0.0017761989342806395
"DorianD, Aeon Animus, SotoAlt",51,1,0.0,0.09797708321852333
0xfabs,51,2,0.00012697432601306937,0.09868364872250308
sma (00:14),5,2,0.0013526924268187073,0.11309200514755172
"WAWE, Ophiuchus",5,1,0.0,0.0873455273799176
WAWE (00:42),0,1,0.0,0.10760785810894176
SMA](01:36),6,2,0.0013526924268187075,0.10314672831296802
stakeware.xyz] (01:15),6,1,0.0,0.08129187696744807
SMA](01:03),86,1,0.0,0.0017761989342806395
Ophiuchus](01:14),86,1,0.0,0.0017761989342806395
whobody](01:20),87,1,0.0,0.0017761989342806395
SMA](01:20),87,1,0.0,0.0017761989342806395
"Ophiuchus, whobody",51,1,0.0,0.0882847265990565
big dookie (03:11),34,1,0.0,0.07567262279919129
gm,5,1,0.0,0.09163481667089571
"parsedContent is null, retrying",5,2,1.8902778016069148e-05,0.11899245759003269
big dookie (06:39),34,1,0.0,0.07567262279919129
big doooki,24,1,0.0,0.0973959617284965
smokyboo (07:01),14,1,0.0,0.006216696269982238
big dookie & whobody,24,1,0.0,0.0973959617284965
big dookie (09:15),0,1,0.0,0.08421004690986929
j2k(11:48),88,1,0.0,0.002368265245707519
community members,88,2,6.320992648685549e-06,0.003552397868561279
j2k,51,1,0.0,0.10061862222686588
Deleted User (15:02),6,1,0.0,0.06796754614000211
General,6,2,0.0013526924268187075,0.08260039812587781
weliveinasociety,89,1,0.0,0.0017761989342806395
Agent Joshua ₱,89,1,0.0,0.0017761989342806395
Parzival (00:56)] and [H.D.P.](01:10),90,1,0.0,0.0017761989342806395
community members interested in integrating Cursor into their projects.,90,1,0.0,0.0017761989342806395
Spooky,51,1,0.0,0.0882847265990565
lpdaemon,6,1,0.0,0.0840376619622544
#general_chat,0,1,0.0,0.10760785810894176
general community,0,1,0.0,0.08421004690986929
ophiuchus,91,1,0.0,0.0017761989342806395
SMA (04:19),91,1,0.0,0.0017761989342806395
Zo & Spooky,0,1,0.0,0.10760785810894176
Zo,51,2,0.0013526924268187075,0.08847499540638205
izzy3911,24,1,0.0,0.09448192835111917
Vice man,134,1,0.0,0.07553339074252305
Ancosero,92,1,0.0,0.0017761989342806395
Everyone,92,1,0.0,0.0017761989342806395
JJJ,93,1,0.0,0.0017761989342806395
Badtech,93,1,0.0,0.0017761989342806395
Jacob,134,3,0.0,0.08934145346803325
Ladi,5,1,0.0,0.09625415678443441
jjj,94,1,0.0,0.003197158081705151
hajmamad,94,3,1.8962977946056647e-05,0.0053285968028419185
꧁Ninja_Dev,94,1,0.0,0.003197158081705151
W3_Bounty,94,1,0.0,0.003197158081705151
Ξ2T,95,1,0.0,0.0017761989342806395
"props for PR, easy to add Farcaster client and get an agent casting (11:10)",95,1,0.0,0.0017761989342806395
JamLong,96,1,0.0,0.002368265245707519
michaelben,96,2,6.320992648685549e-06,0.003552397868561279
Gaia 🌱,96,1,0.0,0.002368265245707519
agwnl](03:16),97,1,0.0,0.0017761989342806395
Shisho] (03:20),97,1,0.0,0.0017761989342806395
Shisho,98,1,0.0,0.0017761989342806395
Grivier,98,1,0.0,0.0017761989342806395
techfren,99,1,0.0,0.0017761989342806395
Thanks for the info on VPS pricing.,99,1,0.0,0.0017761989342806395
Reassured that Reddit will be handled before PR.,17,1,0.0,0.004918704741084848
Ȑ̵͘S̷͂̋,100,2,6.320992648685549e-06,0.003552397868561279
Advised to use the client for Eliza-starter.,100,1,0.0,0.002368265245707519
Provided information about the client folder and its use for building front-end.,100,1,0.0,0.002368265245707519
"Confirmed that the agent replies to comments on tweets, but mentioned an issue with testing.",134,1,0.0,0.08934145346803325
agwnl](08:23),101,1,0.0,0.0017761989342806395
big trav](07:15),101,1,0.0,0.0017761989342806395
Kevin Mok,134,1,0.0,0.07553339074252305
Ophiuchus](https://discordapp.com/users/me/984231576),102,1,0.0,0.0017761989342806395
Solana token swap integration issue by [0xwarptic] (solved successfully),102,1,0.0,0.0017761989342806395
Oguz Serdar](https://discordapp.com/users/me/984231576),103,2,6.320992648685549e-06,0.003552397868561279
Rate limit concerns by [ferric,103,1,0.0,0.002368265245707519
stakeware.xyz] (solved successfully),103,1,0.0,0.002368265245707519
Binye,51,1,0.0,0.07189561798346984
Thebishop,6,1,0.0,0.082434533872613
Community members struggling,6,2,3.442578658819719e-05,0.10393012118623109
0xwarptic,104,1,0.0,0.0017761989342806395
omzō,104,1,0.0,0.0017761989342806395
ashxn,0,1,0.0,0.10760785810894176
jamesID,6,1,0.0,0.0840376619622544
Dockerfile setup issues and troubleshooting.,6,1,0.0,0.0840376619622544
ViceMan,68,1,0.0,0.002368265245707519
Wawe_Alt,51,1,0.0,0.0882847265990565
Vice man (05:24),22,1,0.0,0.010511603529103457
void(null)⍼,105,2,6.320992648685549e-06,0.003552397868561279
3700,105,1,0.0,0.002368265245707519
BVM + Eternal AI,105,1,0.0,0.002368265245707519
AgentJoshua,106,1,0.0,0.0017761989342806395
GokuMaster64,106,1,0.0,0.0017761989342806395
milan,107,1,0.0,0.0017761989342806395
not_in_a_dao_ai byeo2i01prwntorideBruenu #redbull.eth#BORED j3r Agent Joshua $₱ LiveTheLifeTV ViceMan Isk heheh Bunchu Jin,107,1,0.0,0.0017761989342806395
TrenchFren,108,1,0.0,0.0017761989342806395
general discussion group,108,1,0.0,0.0017761989342806395
DataRelic,134,2,0.0013526924268187075,0.07343899439814182
hΔrdshell,134,3,0.0035138398134042987,0.09062339485333615
st4rgard3n (03:24),109,1,0.0,0.0017761989342806395
Twitter scraper issue,109,1,0.0,0.0017761989342806395
SMA (04:36),110,1,0.0,0.0017761989342806395
Error,110,1,0.0,0.0017761989342806395
Discord chat members who experienced bot's lack of response.,16,1,0.0,0.003197158081705151
0xdexplorer,17,1,0.0,0.004918704741084848
Isk Heiheh,5,1,0.0,0.07396828444785815
AM,5,2,0.0013526924268187075,0.09163481667089571
How do I revert back without messing up my fixes and additions?,51,1,0.0,0.0882847265990565
"puremood, Ophiuchus",24,1,0.0,0.09448192835111917
Rick,111,1,0.0,0.0017761989342806395
Melted,111,1,0.0,0.0017761989342806395
Nona (ag/acc),24,2,0.0,0.09569323512485146
dievardump,112,1,0.0,0.0017761989342806395
tybq93,112,1,0.0,0.0017761989342806395
CS,113,1,0.0,0.0017761989342806395
HoneyPotSmoker🐻⛓🍯,113,1,0.0,0.0017761989342806395
2696,114,1,0.0,0.0017761989342806395
Vice Man,114,1,0.0,0.0017761989342806395
allan28,115,1,0.0,0.0017761989342806395
Bill Gains,115,1,0.0,0.0017761989342806395
Matthias,116,1,0.0,0.002368265245707519
git issue,116,2,6.320992648685549e-06,0.003552397868561279
zKorp ☁,116,1,0.0,0.002368265245707519
solana priorityFee object query,17,1,0.0,0.004918704741084848
Odilitime,134,5,0.005184139545845711,0.09928028505093417
Odilitime (08:05),117,1,0.0,0.0017761989342806395
General community members,117,1,0.0,0.0017761989342806395
Deniz,5,1,0.0,0.1127813128257178
radagast,6,3,0.003150381687731485,0.10676826493774065
bundo,51,1,0.0,0.10061862222686588
Honey B.(02:12),6,2,0.0013526924268187075,0.10314672831296802
stakeware.xyz](02:12),6,1,0.0,0.08129187696744807
Honey B.,51,1,0.0,0.09797708321852333
shaw (02:16),6,2,3.442578658819719e-05,0.10393012118623109
DegenSpartan] (00:07),118,1,0.0,0.0017761989342806395
Ophiuchus](00:06),118,1,0.0,0.0017761989342806395
Discussing the feasibility of running a local LLM and potential hardware requirements,6,2,3.442578658819719e-05,0.10393012118623109
DegenSpartan,6,3,0.0026990638609887293,0.10340654374952461
"stakeware.xyz, hiroP",6,1,0.0,0.08145317037412951
All members discussing the need for GPUs and local setup challenges.,6,1,0.0,0.08145317037412951
hiroP (01:42),5,1,0.0,0.09102527243583432
Kevin,5,3,0.001371595204834777,0.11933836589698045
hiroP (01:49),34,1,0.0,0.07567262279919129
WAWE(02:33),134,1,0.0,0.09513881313687433
everyone,0,1,0.0,0.10760785810894176
patabrava.eth,51,1,0.0,0.10061862222686588
Doraind,6,2,3.442578658819719e-05,0.10393012118623109
doriand,119,1,0.0,0.0017761989342806395
bigsky,119,1,0.0,0.0017761989342806395
DorianD (10:24),120,1,0.0,0.0017761989342806395
Character file calling issue in the new model.,120,1,0.0,0.0017761989342806395
Dorian (12:04),22,1,0.0,0.008327374224354686
Lazarou provided support for terminal communication issues via Eliza.,6,2,3.442578658819719e-05,0.10393012118623109
Carlos Rene,28,1,0.0,0.00598298588389268
DEGA,28,1,0.0,0.00598298588389268
ktr,5,2,1.8902778016069148e-05,0.11899245759003269
"Msurfx, DataRelic",5,2,0.0013526924268187073,0.11309200514755172
WAWE (01:54),5,1,0.0,0.0873455273799176
jmill,121,1,0.0,0.0017761989342806395
Lemonov,121,1,0.0,0.0017761989342806395
Radagast,83,1,0.0,0.00598298588389268
Twitter + Telegram client interaction problem,24,1,0.0,0.0973959617284965
Nona,63,1,0.0,0.002368265245707519
multiple,22,1,0.0,0.008327374224354686
slim,122,1,0.0,0.0017761989342806395
(GPU and CUDA compatibility),122,1,0.0,0.0017761989342806395
pastd_,5,3,0.0026990638609887293,0.11340441400155048
WAWE & Tenji,5,1,0.0,0.08753176517816903
